"Region, subregion, country or area *"	Country_code	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Sao Tome and Principe	678	3501000	15664000	38015839.46	36028527.82	79143388.76	15500000	50600000	32152348.55	22471527.03	12162344.82	27098307.19	28582187.18	22152092.6
Saudi Arabia	682	-334320000	12106749694	18317596796	24333811514	39455863929	36457666667	29232706667	16308280000	12182373333	8864693333	8011786667	8141026667	7452533333
Senegal	686	137336903.7	167877437.2	289582834.4	350994490.1	453902667.5	330145120.8	271827672.5	338218819.4	276175329.5	311278273.7	402561894.3	409001268.1	392815564.9
Serbia	688	958469762.2	1577035766	4255703638	4423927588	4055646331	2928877110	1693330941	4929898533	1276100599	2059702251	1999520402	2345152815	2300135289
Seychelles	690	38014852.1	80729739.09	140555693.5	175927631.5	179825444.2	168251661.9	159795375	143240665.1	613208776.3	57289065.62	108307006	105893597.2	86416689.7
Sierra Leone	694	61153314.19	90731669.74	58869143.91	95470171.32	53095074.15	110430202.5	238404157.8	950477689	722447242.9	429664519.9	375089670.5	252435829.4	516000000
Singapore	702	24390314129	18090329984	36923890241	47733209770	12200705252	23821209700	55075864345	49155975338	56236647375	64684568049	73986661931	70579746513	61596847011
Slovak Republic	703	4060863687	3924682009	5696440446	5059527853	4641898697	1519061242	2117457352	5426624043	1776753941	1003810309	-362446778.8	1519809127	3548472664
Slovenia	705	763100000	970800000	691588429.4	1884932873	1081080207	-346269217.1	319054952.7	875544802.3	33548087.62	103977238.6	1019291465	1729437645	1461635216
Solomon Islands	90	-2670173.389	548149.3494	44307544.56	85983505.99	75177085.38	48583116.34	165920898.3	120052792.5	23881499.3	53434351.38	21022029.97	32222728.56	37343622.77
Somalia	706	-4790000	24000000	96000000	141000000	87000000	108000000	112000000	102000000	107330000	258000000	283000000	306000000	339000000
South Africa	710	701422007.6	6522098178	623291744.3	6586792253	9885001293	7624489974	3693271715	4139289123	4626029122	8232518816	5791659020	1521139945	2250190584
South Asia	921	7477232653	10835965281	25539643966	32472490181	51156328359	39636706804	31562387498	40651615041	27771786000	33514678223	40313703980	49674816558	50249997280
South Asia (IDA & IBRD)	920	7477232653	10835965281	25539643966	32472490181	51156328359	39636706804	31562387498	40651615041	27771786000	33514678223	40313703980	49674816558	50249997280
South Sudan	724	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	161000000	-793000000	1035825.73	150000	-6080000
Spain	724	25176365229	26720350857	32989821047	73772822154	79557788103	13478740375	41020054117	31782139561	24915158981	52287690611	34889756901	34281361175	32116526541
Sri Lanka	144	232800000	272400000	479700000	603000000	752200000	404000000	477559000	955920000	941116591.2	932551317.6	893628980.3	679655644.2	898083819.3
Sub-Saharan Africa	947	12293391586	19596845040	16434278441	28763128734	38868662904	36570730606	31200677469	42015055976	39463063657	40605169371	43028190936	43623344754	38634256029
Sudan	729	1511070000	1561689997	1841833814	1504379838	1653120315	1726298403	2063730998	1734376994	2311460740	1687884179	1251280889	1728373403	1063767535
Suriname	740	-37300000	27900000	-163400000	-246700000	-231400000	-93400000	-247700000	145288761.2	169442185.1	186765030.6	-59673138.08	195402811.9	174273020.7
Swaziland	748	69582011.84	-45850344.68	121031132.7	37493846.24	105729374.7	65705859.52	135660413.7	98708321.72	26480002.33	81790158.4	25782635.17	31498094.37	27049949.52
Sweden	752	16854649894	20782686616	22052656379	46143507533	41436553996	8960871621	625102142.5	6979353755	4273531542	1543757552	-8626915507	8431183787	15331627487
Switzerland	748	7102294153	2664910821	53760772986	48688296543	2990936685	47658570355	17670735603	20764483835	39943494322	-24926465857	20369335535	97577566732	-17717098083
Syrian Arab Republic	760	275000000	500000000	659000000	1241959115	1465623386	2569548272	1469196863	N/A	N/A	N/A	N/A	N/A	N/A
Tajikistan	762	272025100	54479300	338627400	359967400	375787400	15819400	79411810	161120270	239347550	125482830	309306960	426147890	344147210
Thailand	764	5860255943	8215637195	8917470351	8633903441	8561557725	6411458545	14746672920	2473685996	12899036061	15935960663	4975455660	8927579181	3063235324
Timor-Leste	626	0	908000	8478084.462	8695061.688	39697970.75	47954750.66	30332806.77	49058168.54	40382443.85	55857105.62	33905491.52	42995500	5478700
Togo	768	79824366.06	95965416.47	91315553.92	62324369.4	50687212.17	46118873.9	124942198.6	727757280.6	121518516.1	183547067.3	53948489.72	257756356.3	254938420.8
Tonga	776	4586984.993	7204705.15	11600987.57	29123525.64	5949790.984	423983.4539	8982406.662	3714341.788	1793663.307	6666165.946	56043795.38	12632018.84	8855569.93
Trinidad and Tobago	780	998100000	939700000	882700000	830000000	2800800000	709100000	549400000	54557315.5	-1891033844	-1134422044	671596266	357225692.9	-73301902.29
Tunisia	788	592147521.7	712714847.3	3239909093	1515345044	2600674976	1525244858	1334497695	432666011.6	1554269129	1058622582	1024754444	970521888.7	695100945.1
Turkey	792	2785000000	10031000000	20185000000	22047000000	19851000000	8585000000	9099000000	16182000000	13628000000	12896000000	12828000000	17550000000	12307000000
